Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     28/1    0.000    0.000  111.642  111.642 {built-in method builtins.exec}
        1    0.012    0.012  111.642  111.642 main.py:1(<module>)
        1    2.846    2.846  111.018  111.018 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:154(run)
        1    0.210    0.210    0.210    0.210 {method 'write' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.256    0.128 C:\Program Files\Python312\Lib\zipfile\__init__.py:1200(write)
        1    0.000    0.000    0.032    0.032 C:\Users\Valentina\risc-v\config_linux.py:38(loader)
        1    0.012    0.012    0.025    0.025 C:\Users\Valentina\risc-v\config_linux.py:13(parse_linker_map_file)
        1    0.000    0.000    0.023    0.023 C:\Program Files\Python312\Lib\zipfile\__init__.py:1(<module>)
        2    0.036    0.018    0.036    0.018 {built-in method zlib.crc32}
        1    0.000    0.000    0.017    0.017 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:1(<module>)
       16    0.220    0.014    0.220    0.014 {method 'write' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.012    0.012 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:1(<module>)
        1    0.000    0.000    0.012    0.012 C:\Program Files\Python312\Lib\zipfile\_path\__init__.py:1(<module>)
     36/4    0.001    0.000    0.046    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
     36/4    0.000    0.000    0.045    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.011    0.011    0.011    0.011 C:\Users\Valentina\risc-v\devices\memory\ram.py:13(__init__)
        1    0.000    0.000    0.010    0.010 C:\Program Files\Python312\Lib\pathlib.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Valentina\risc-v\utils\conversions.py:1(<module>)
     35/5    0.000    0.000    0.042    0.008 <frozen importlib._bootstrap>:911(_load_unlocked)
     26/5    0.000    0.000    0.042    0.008 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.000    0.000    0.008    0.008 C:\Program Files\Python312\Lib\ctypes\__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Program Files\Python312\Lib\shutil.py:1(<module>)
        1    0.000    0.000    0.006    0.006 C:\Program Files\Python312\Lib\urllib\parse.py:1(<module>)
        3    0.015    0.005    0.015    0.005 {built-in method nt.unlink}
     76/9    0.000    0.000    0.040    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.002    0.002    0.004    0.004 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.003    0.003 C:\Program Files\Python312\Lib\ipaddress.py:1(<module>)
        1    0.001    0.001    0.002    0.002 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python312\Lib\bz2.py:1(<module>)
        3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
        3    0.006    0.002    0.006    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.002    0.002 C:\Users\Valentina\risc-v\devices\memory\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python312\Lib\encodings\cp1251.py:22(decode)
        1    0.001    0.001    0.001    0.001 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python312\Lib\ipaddress.py:2317(_IPv6Constants)
        3    0.000    0.000    0.003    0.001 {built-in method builtins.__import__}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python312\Lib\lzma.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python312\Lib\ipaddress.py:1569(_IPv4Constants)
      299    0.243    0.001    0.243    0.001 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python312\Lib\fnmatch.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
       31    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       31    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       36    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       26    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1292(__init__)
